,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
5,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-31 00:00:00+00:00,2018-12-30 17:00:00-07:00,no2,0.023,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
13,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-31 00:00:00+00:00,2018-12-30 17:00:00-07:00,no2,0.03,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
14,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-31 00:00:00+00:00,2018-12-30 17:00:00-07:00,no2,0.005,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
16,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 23:00:00+00:00,2018-12-30 16:00:00-07:00,no2,0.009000000000000001,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
24,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 23:00:00+00:00,2018-12-30 16:00:00-07:00,no2,0.016,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
25,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 23:00:00+00:00,2018-12-30 16:00:00-07:00,no2,0.023,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
33,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 22:00:00+00:00,2018-12-30 15:00:00-07:00,no2,0.013000000000000001,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
37,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 22:00:00+00:00,2018-12-30 15:00:00-07:00,no2,0.006999999999999999,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
45,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 22:00:00+00:00,2018-12-30 15:00:00-07:00,no2,0.021,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
54,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 21:00:00+00:00,2018-12-30 14:00:00-07:00,no2,0.008,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
